variable_num,value,translation
BH001,BH,Batch Header
BH002,01,AL-Alabama
BH002,02,AZ-Arizona
BH002,03,AR-Arkansas
BH002,04,CA-California
BH002,05,CO-Colorado
BH002,06,CT-Connecticut
BH002,07,DE-Delaware
BH002,08,DC-District of Columbia
BH002,09,FL-Florida
BH002,10,GA-Georgia
BH002,11,ID-Idaho
BH002,12,IL-Illinois
BH002,13,IN-Indiana
BH002,14,IA-Iowa
BH002,15,KS-Kansas
BH002,16,KY-Kentucky
BH002,17,LA-Louisiana
BH002,18,ME-Maine
BH002,19,MD-Maryland
BH002,20,MA-Massachusetts
BH002,21,MI-Michigan
BH002,22,MN-Minnesota
BH002,23,MS-Mississippi
BH002,24,MO-Missouri
BH002,25,MT-Montana
BH002,26,NB-Nebraska
BH002,27,NV-Nevada
BH002,28,NH-New Hampshire
BH002,29,NJ-New Jersey
BH002,30,NM-New Mexico
BH002,31,NY-New York
BH002,32,NC-North Carolina
BH002,33,ND-North Dakota
BH002,34,OH-Ohio
BH002,35,OK-Oklahoma
BH002,36,OR-Oregon
BH002,37,PA-Pennsylvania
BH002,38,RI-Rhode Island
BH002,39,SC-South Carolina
BH002,40,SD-South Dakota
BH002,41,TN-Tennessee
BH002,42,TX-Texas
BH002,43,UT-Utah
BH002,44,VT-Vermont
BH002,45,VA-Virginia
BH002,46,WA-Washington
BH002,47,WV-West Virginia
BH002,48,WI-Wisconsin
BH002,49,WY-Wyoming
BH002,50,AK-Alaska
BH002,51,HI-Hawaii
BH002,52,CZ-Canal Zone
BH002,53,PR-Puerto Rico
BH002,54,AS-American Samoa
BH002,55,GM-Guam
BH002,62,VI-Virgin Islands
BH009,0,"Possessions and Canal Zone(Puerto Rico, Guam, Canal Zone, Virgin Islands, and American Samoa)"
BH009,1,"All cities 250,000 or over"
BH009,1A,"Cities 1,000,000 or over"
BH009,1B,"Cities from 500,000 thru 999,999"
BH009,1C,"Cities from 250,000 thru 499,999"
BH009,2,"Cities from 100,000 thru 249,999"
BH009,3,"Cities from 50,000 thru 99,999"
BH009,4,"Cities from 25,000 thru 49,999"
BH009,5,"Cities from 10,000 thru 24,999"
BH009,6,"Cities from 2,500 thru 9,999"
BH009,7,"Cities under 2,500"
BH009,8,Non-MSA Counties
BH009,8A,"Non-MSA Counties 100,000 or over"
BH009,8B,"Non-MSA Counties from 25,000 thru 99,999"
BH009,8C,"Non-MSA Counties from 10,000 thru 24,999"
BH009,8D,"Non-MSA Counties under 10,000"
BH009,8E,Non-MSA State Police
BH009,9,MSA Counties
BH009,9A,"MSA Counties 100,000 or over"
BH009,9B,"MSA Counties from 25,000 thru 99,999"
BH009,9C,"MSA Counties from 10,000 thru 24,999"
BH009,9D,"MSA Counties under 10,000"
BH009,9E,MSA State Police
BH010,0,Possessions and Canal Zone
BH010,1,New England
BH010,2,Middle Atlantic
BH010,3,East North Central
BH010,4,West North Central
BH010,5,South Atlantic
BH010,6,East South Central
BH010,7,West South Central
BH010,8,Mountain
BH010,9,Pacific
BH011,0,Possessions and Canal Zone
BH011,1,North East
BH011,2,North Central
BH011,3,South
BH011,4,West
BH012,0,Covered-By Another Agency
BH012,1,City
BH012,2,County
BH012,3,University or College
BH012,4,State Police
BH012,5,Special Agency
BH012,6,Other State Agencies
BH012,7,Tribal Agencies
BH012,8,Federal Agencies
BH013,Y,Yes
BH013,N,No
BH015,9999,Blanked
BH017,Blank,Does not yet participate
BH017,A,Active
BH039,Blanks,no months reported
BH039,01,1 or more months reported
BH039,06,6 or more months reported
BH039,12,12 months reported
V1001,01,Administrative Segment
V1002,01,AL-Alabama
V1002,02,AZ-Arizona
V1002,03,AR-Arkansas
V1002,04,CA-California
V1002,05,CO-Colorado
V1002,06,CT-Connecticut
V1002,07,DE-Delaware
V1002,08,DC-District of Columbia
V1002,09,FL-Florida
V1002,10,GA-Georgia
V1002,11,ID-Idaho
V1002,12,IL-Illinois
V1002,13,IN-Indiana
V1002,14,IA-Iowa
V1002,15,KS-Kansas
V1002,16,KY-Kentucky
V1002,17,LA-Louisiana
V1002,18,ME-Maine
V1002,19,MD-Maryland
V1002,20,MA-Massachusetts
V1002,21,MI-Michigan
V1002,22,MN-Minnesota
V1002,23,MS-Mississippi
V1002,24,MO-Missouri
V1002,25,MT-Montana
V1002,26,NB-Nebraska
V1002,27,NV-Nevada
V1002,28,NH-New Hampshire
V1002,29,NJ-New Jersey
V1002,30,NM-New Mexico
V1002,31,NY-New York
V1002,32,NC-North Carolina
V1002,33,ND-North Dakota
V1002,34,OH-Ohio
V1002,35,OK-Oklahoma
V1002,36,OR-Oregon
V1002,37,PA-Pennsylvania
V1002,38,RI-Rhode Island
V1002,39,SC-South Carolina
V1002,40,SD-South Dakota
V1002,41,TN-Tennessee
V1002,42,TX-Texas
V1002,43,UT-Utah
V1002,44,VT-Vermont
V1002,45,VA-Virginia
V1002,46,WA-Washington
V1002,47,WV-West Virginia
V1002,48,WI-Wisconsin
V1002,49,WY-Wyoming
V1002,50,AK-Alaska
V1002,51,HI-Hawaii
V1002,52,CZ-Canal Zone
V1002,53,PR-Puerto Rico
V1002,54,AS-American Samoa
V1002,55,GM-Guam
V1002,62,VI-Virgin Islands
V1006,Blank,Incident date
V1006,R,Report date
V1007,Blank,Unknown time
V1007,00,On or between midnight and 0059
V1007,01,On or between 0100 and 0159
V1007,02,On or between 0200 and 0259
V1007,03,On or between 0300 and 0359
V1007,04,On or between 0400 and 0459
V1007,05,On or between 0500 and 0559
V1007,06,On or between 0600 and 0659
V1007,07,On or between 0700 and 0759
V1007,08,On or between 0800 and 0859
V1007,09,On or between 0900 and 0959
V1007,10,On or between 1000 and 1059
V1007,11,On or between 1100 and 1159
V1007,12,On or between 1200 and 1259
V1007,13,On or between 1300 and 1359
V1007,14,On or between 1400 and 1459
V1007,15,On or between 1500 and 1559
V1007,16,On or between 1600 and 1659
V1007,17,On or between 1700 and 1759
V1007,18,On or between 1800 and 1859
V1007,19,On or between 1900 and 1959
V1007,20,On or between 2000 and 2059
V1007,21,On or between 2100 and 2159
V1007,22,On or between 2200 and 2259
V1007,23,On or between 2300 and 2359
V1013,A,Death of Offender
V1013,B,Prosecution Declined (for other than lack of probable cause)
V1013,C,In Custody of Other Jurisdiction (inclues extradition denied)
V1013,D,Victim Refused to Cooperate
V1013,E,Juvenile/No Custody
V1013,N,Not Applicable
V1016,Y,Yes
V1016,N,No
V2001,02,Offense Segment
V2002,01,AL-Alabama
V2002,02,AZ-Arizona
V2002,03,AR-Arkansas
V2002,04,CA-California
V2002,05,CO-Colorado
V2002,06,CT-Connecticut
V2002,07,DE-Delaware
V2002,08,DC-District of Columbia
V2002,09,FL-Florida
V2002,10,GA-Georgia
V2002,11,ID-Idaho
V2002,12,IL-Illinois
V2002,13,IN-Indiana
V2002,14,IA-Iowa
V2002,15,KS-Kansas
V2002,16,KY-Kentucky
V2002,17,LA-Louisiana
V2002,18,ME-Maine
V2002,19,MD-Maryland
V2002,20,MA-Massachusetts
V2002,21,MI-Michigan
