year,variable_num,variable_name,location_start,width
1991,B1001,SEGMENT LEVEL,1,2
1991,B1002,NUMERIC STATE CODE,3,2
1991,B1003,ORIGINATING AGENCY IDENTIFIER (ORI),5,9
1991,B1004,INCIDENT NUMBER,14,12
1991,B1005,DATE ORI WAS ADDED,26,8
1991,B1006,DATE ORI WENT NIBRS,34,8
1991,B1007,CITY NAME,42,30
1991,B1008,STATE ABBREVIATION,72,2
1991,B1009,POPULATION GROUP,74,2
1991,B1010,COUNTRY DIVISION,76,1
1991,B1011,COUNTRY REGION,77,1
1991,B1012,AGENCY INDICATOR,78,1
1991,B1013,CORE CITY,79,1
1991,B1014,COVERED-BY ORI,80,9
1991,B1015,FBI FIELD OFFICE,89,4
1991,B1016,JUDICIAL DISTRICT,93,4
1991,B1017,AGENCY NIBRS FLAG,97,1
1991,B1018,AGENCY INACTIVE DATE,98,8
1991,B1019,FILLER BLANKS,106,27
1991,B1020,N B1 RECORDS PER ORI-INCIDENT NUMBER,133,3
1991,B2001,SEGMENT LEVEL,1,2
1991,B2002,NUMERIC STATE CODE,3,2
1991,B2003,ORIGINATING AGENCY IDENTIFIER (ORI),5,9
1991,B2004,INCIDENT NUMBER,14,12
1991,B2005,CURRENT POPULATION 1,26,9
1991,B2006,UCR COUNTY CODE 1,35,3
1991,B2007,MSA CODE 1,38,3
1991,B2008,LAST POPULATION 1,41,9
1991,B2009,CURRENT POPULATION 2,50,9
1991,B2010,UCR COUNTY CODE 2,59,3
1991,B2011,MSA CODE 2,62,3
1991,B2012,LAST POPULATION 2,65,9
1991,B2013,CURRENT POPULATION 3,74,9
1991,B2014,UCR COUNTY CODE 3,83,3
1991,B2015,MSA CODE 3,86,3
1991,B2016,LAST POPULATION 3,89,9
1991,B2017,CURRENT POPULATION 4,98,9
1991,B2018,UCR COUNTY CODE 4,107,3
1991,B2019,MSA CODE 4,110,3
1991,B2020,LAST POPULATION 4,113,9
1991,B2021,FILLER BLANKS,122,11
1991,B2022,N B2 RECORDS PER ORI-INCIDENT NUMBER,133,3
1991,B3001,SEGMENT LEVEL,1,2
1991,B3002,NUMERIC STATE CODE,3,2
1991,B3003,ORIGINATING AGENCY IDENTIFIER (ORI),5,9
1991,B3004,INCIDENT NUMBER,14,12
1991,B3005,CURRENT POPULATION 5,26,9
1991,B3006,UCR COUNTY CODE 5,35,3
1991,B3007,MSA CODE 5,38,3
1991,B3008,LAST POPULATION 5,41,9
1991,B3009,01-06-12 INDICATOR,50,2
1991,B3010,NUMBER OF MONTHS REPORTED,52,2
1991,B3011,MASTER FILE YEAR,54,4
1991,B3012,AGENCY ACTIVITY INDICATOR JANUARY,58,3
1991,B3013,AGENCY ACTIVITY INDICATOR FEBRUARY,61,3
1991,B3014,AGENCY ACTIVITY INDICATOR MARCH,64,3
1991,B3015,AGENCY ACTIVITY INDICATOR APRIL,67,3
1991,B3016,AGENCY ACTIVITY INDICATOR MAY,70,3
1991,B3017,AGENCY ACTIVITY INDICATOR JUNE,73,3
1991,B3018,AGENCY ACTIVITY INDICATOR JULY,76,3
1991,B3019,AGENCY ACTIVITY INDICATOR AUGUST,79,3
1991,B3020,AGENCY ACTIVITY INDICATOR SEPTEMBER,82,3
1991,B3021,AGENCY ACTIVITY INDICATOR OCTOBER,85,3
1991,B3022,AGENCY ACTIVITY INDICATOR NOVEMBER,88,3
1991,B3023,AGENCY ACTIVITY INDICATOR DECEMBER,91,3
1991,B3024,FIPS COUNTY 1,94,3
1991,B3025,FIPS COUNTY 2,97,3
1991,B3026,FIPS COUNTY 3,100,3
1991,B3027,FIPS COUNTY 4,103,3
1991,B3028,FIPS COUNTY 5,106,3
1991,B3029,FILLER BLANKS,109,24
1991,B3030,N B3 RECORDS PER ORI-INCIDENT NUMBER,133,3
1991,V1001,SEGMENT LEVEL,1,2
1991,V1002,NUMERIC STATE CODE,3,2
1991,V1003,ORIGINATING AGENCY IDENTIFIER (ORI),5,9
1991,V1004,INCIDENT NUMBER,14,12
1991,V1005,INCIDENT DATE,26,8
1991,V1006,REPORT DATE INDICATOR,34,1
1991,V1007,INCIDENT DATE HOUR,35,2
1991,V1008,TOTAL OFFENSE SEGMENTS,37,2
1991,V1009,TOTAL VICTIM SEGMENTS,39,3
1991,V1010,TOTAL OFFENDER SEGMENTS,42,2
1991,V1011,TOTAL ARRESTEE SEGMENTS,44,2
1991,V1012,CITY SUBMISSION,46,4
1991,V1013,CLEARED EXCEPTIONALLY,50,1
1991,V1014,EXCEPTIONAL CLEARANCE DATE,51,8
1991,V1015,N 01 RECORDS PER ORI-INCIDENT NUMBER,59,3
1991,V2001,SEGMENT LEVEL,1,2
1991,V2002,NUMERIC STATE CODE,3,2
1991,V2003,ORIGINATING AGENCY IDENTIFIER (ORI),5,9
1991,V2004,INCIDENT NUMBER,14,12
1991,V2005,INCIDENT DATE,26,8
1991,V2006,UCR OFFENSE CODE,34,3
1991,V2007,OFFENSE ATTEMPTED/COMPLETED,37,1
1991,V2008,OFFENDER(S) SUSPECTED OF USING 1,38,1
1991,V2009,OFFENDER(S)OF USING 2,39,1
1991,V2010,OFFENDERS(S)OF USING 2,40,1
1991,V2011,LOCATION TYPE,41,2
1991,V2012,NUMBER OF PREMISES ENTERED,43,2
1991,V2013,METHOD OF ENTRY,45,1
1991,V2014,TYPE OF CRIMINAL ACTIVITY 1,46,1
1991,V2015,TYPE OF CRIMINAL ACTIVITY 2,47,1
1991,V2016,TYPE OF CRIMINAL ACTIVITY 3,48,1
1991,V2017,TYPE WEAPON/FORCE INVOLVED 1,49,3
1991,V2018,TYPE WEAPON/FORCE INVOLVED 2,52,3
1991,V2019,TYPE WEAPON/FORCE INVOLVED 3,55,3
1991,V2020,BIAS MOTIVATION,58,2
1991,V2021,N 02 RECORDS PER ORI-INCIDENT NUMBER,60,3
1991,V3001,SEGMENT LEVEL,1,2
