agency_ori_7,year,ori_group,pop1
AL00100,1980,9A,172148
AL00101,1980,4,31509
AL00102,1980,1C,282081
AL00104,1980,5,12978
AL00105,1980,6,7828
AL00106,1980,6,8623
AL00110,1980,5,21260
AL00118,1980,6,5254
AL00119,1980,5,13247
AL00123,1980,6,3253
AL00200,1980,9B,96930
AL00201,1980,2,199411
AL00202,1980,4,38681
AL00203,1980,6,7492
AL00205,1980,6,9789
AL00207,1980,6,3666
AL00300,1980,9C,20722
AL00301,1980,2,176860
AL00400,1980,9C,13592
AL00500,1980,9B,51883
AL00505,1980,7,2310
AL00508,1980,6,3399
AL00600,1980,8C,10376
AL00800,1980,8B,28686
AL00900,1980,8D,6182
AL01000,1980,8C,10932
AL01001,1980,6,7794
AL01100,1980,9B,62501
AL01101,1980,4,29534
AL01105,1980,6,8464
AL01200,1980,8B,27700
AL01201,1980,6,3630
AL01400,1980,8C,20626
AL01500,1980,8C,13785
AL01600,1980,8C,15270
AL01602,1980,6,4412
AL01800,1980,8D,9221
AL01902,1980,5,17577
AL02000,1980,9C,20488
AL02002,1980,6,9113
AL02100,1980,8C,11731
AL02200,1980,8D,8963
AL02202,1980,7,485
AL02301,1980,6,9825
AL02400,1980,8C,10341
AL02500,1980,8B,45648
AL02501,1980,5,13069
AL02600,1980,8C,23958
AL02601,1980,5,12721
AL02700,1980,8B,26676
AL02701,1980,4,26243
AL02802,1980,7,1365
AL02900,1980,9B,30553
AL02902,1980,6,4719
AL03001,1980,6,8873
AL03002,1980,6,6748
AL03101,1980,6,7754
AL03102,1980,4,47526
AL03200,1980,8C,13269
AL03201,1980,6,5245
AL03300,1980,8C,14758
AL03303,1980,6,3236
AL03400,1980,8C,11873
AL03500,1980,8D,8477
AL03800,1980,8C,23518
AL03801,1980,4,48647
AL03900,1980,8B,28127
AL03901,1980,5,14752
AL04000,1980,8C,11065
AL04100,1980,9B,40934
AL04101,1980,4,36983
AL04200,1980,8B,25018
AL04300,1980,8B,26047
AL04301,1980,4,28548
AL04302,1980,5,22087
AL04400,1980,9B,29931
AL04401,1980,5,14524
AL04500,1980,8C,11202
AL04601,1980,5,12653
AL04700,1980,9B,47349
AL04701,1980,2,142291
AL04704,1980,7,1543
AL04705,1980,7,796
AL04800,1980,8C,13362
AL04904,1980,7,863
AL05000,1980,9B,33118
AL05001,1980,5,12039
AL05200,1980,8B,35823
AL05201,1980,4,41832
AL05202,1980,6,8863
AL05300,1980,8D,8344
AL05301,1980,6,4457
AL05400,1980,8C,12601
AL05501,1980,5,12600
AL05700,1980,9C,20301
AL05701,1980,4,26457
AL05800,1980,9C,24889
AL05804,1980,7,1472
AL05900,1980,9B,37308
AL05903,1980,6,3940
AL05904,1980,6,6911
AL06000,1980,8D,9605
AL06002,1980,6,3176
AL06100,1980,8B,34742
AL06102,1980,5,19165
AL06200,1980,8C,17234
AL06201,1980,5,13747
AL06300,1980,9B,48864
AL06301,1980,3,73267
AL06302,1980,5,14332
AL06401,1980,5,11801
AL06500,1980,8C,15338
AL06503,1980,7,1122
AL06600,1980,8C,11832
AL06702,1980,6,5249
AZ00200,1980,8B,30019
AZ00203,1980,6,7149
AZ00205,1980,5,13148
AZ00207,1980,7,1692
AZ00209,1980,5,24901
AZ00213,1980,6,3101
AZ00301,1980,4,34821
AZ00400,1980,8C,20418
AZ00401,1980,6,6642
AZ00405,1980,6,2705
AZ00406,1980,6,5058
AZ00407,1980,7,1060
AZ00505,1980,6,3363
AZ00700,1980,9A,210949
AZ00701,1980,6,8136
AZ00703,1980,6,3438
AZ00705,1980,4,29608
AZ00707,1980,6,4315
AZ00709,1980,7,1611
AZ00713,1980,3,92809
AZ00717,1980,2,149662
AZ00723,1980,1B,772884
AZ00725,1980,3,87700
AZ00729,1980,2,106306
AZ00731,1980,6,4433
AZ00800,1980,8B,30383
AZ00900,1980,8B,43891
AZ00901,1980,6,5768
AZ00903,1980,6,4301
AZ00909,1980,6,7931
AZ01000,1980,9A,190659
AZ01001,1980,6,6542
AZ01003,1980,1C,331506
AZ01100,1980,8B,40516
AZ01101,1980,5,11822
AZ01103,1980,6,6859
AZ01105,1980,6,6227
AZ01201,1980,5,13968
AZ01300,1980,8B,41770
AZ01301,1980,7,1515
AZ01307,1980,5,20081
AZ01400,1980,8B,39792
AZ01403,1980,6,5467
AZ01405,1980,4,41968
AR00100,1980,8D,8505
AR00200,1980,8C,15237
AR00400,1980,9B,37964
AR00401,1980,6,8755
AR00500,1980,8C,16308
AR00501,1980,6,9520
AR00600,1980,8D,6121
AR00701,1980,7,1612
AR00900,1980,8D,6124
AR01000,1980,8C,10615
AR01002,1980,6,2697
AR01100,1980,8C,13195
AR01400,1980,8C,14695
AR01500,1980,8C,12133
AR01501,1980,6,7229
AR01600,1980,8B,31740
AR01601,1980,4,31419
AR01701,1980,5,11996
AR01800,1980,9C,14449
AR01801,1980,4,28198
AR02201,1980,6,8264
AR02300,1980,8C,23688
AR02400,1980,8D,9303
AR02500,1980,8D,9966
AR02600,1980,8B,34727
AR02601,1980,4,35810
AR02700,1980,8D,9928
AR02800,1980,8C,15550
AR02801,1980,5,15198
AR02901,1980,5,10331
AR03001,1980,5,10147
AR03400,1980,8C,13280
AR03500,1980,9B,31726
AR03501,1980,3,56811
AR03700,1980,8D,7283
AR04000,1980,8D,9122
AR04100,1980,9D,9662
AR04300,1980,8C,19897
AR04500,1980,8D,8962
AR04601,1980,5,21338
AR04700,1980,8C,24452
AR04701,1980,5,24326
AR04900,1980,8D,7884
AR05100,1980,8D,7658
AR05200,1980,8C,13829
AR05400,1980,8C,12772
AR05401,1980,6,9569
AR05402,1980,5,11430
AR05500,1980,8C,10327
AR05600,1980,8C,15913
AR05700,1980,8C,11852
AR05900,1980,8D,5757
AR06000,1980,9B,83284
AR06002,1980,2,153831
AR06003,1980,3,64391
AR06201,1980,5,13756
AR06300,1980,9B,32729
AR06600,1980,9C,19765
AR06601,1980,3,71515
AR06701,1980,6,4604
AR07000,1980,8C,21010
AR07001,1980,4,25305
AR07100,1980,8C,13395
AR07200,1980,9B,33398
AR07201,1980,4,36165
AR07400,1980,8D,5774
AR07501,1980,6,3617
AR07502,1980,7,1676
CA00100,1980,9A,123203
CA00101,1980,3,63700
CA00102,1980,5,15101
CA00103,1980,2,103134
CA00105,1980,2,131486
CA00106,1980,3,94303
CA00108,1980,4,31767
CA00109,1980,1C,338721
CA00111,1980,4,34903
CA00112,1980,3,63410
CA00113,1980,4,38965
CA00121,1980,7,0
CA00198,1980,9D,0
CA00200,1980,8D,1093
CA00400,1980,8B,80693
CA00401,1980,7,1415
CA00403,1980,6,3972
CA00404,1980,6,8662
CA00600,1980,8D,7030
CA00700,1980,9A,186100
CA00701,1980,4,42251
CA00704,1980,2,101933
CA00705,1980,5,22689
CA00706,1980,6,5907
CA00707,1980,5,14292
CA00708,1980,4,32674
CA00710,1980,3,74210
CA00711,1980,5,19737
CA00713,1980,6,7051
CA00714,1980,5,22353
CA00715,1980,5,21093
CA00800,1980,8C,15105
CA00900,1980,8B,58326
CA00902,1980,5,20647
CA01000,1980,9A,187634
CA01001,1980,4,32029
CA01004,1980,7,2467
CA01005,1980,2,215396
CA01006,1980,6,2567
CA01010,1980,6,4020
CA01011,1980,6,2598
CA01012,1980,5,10948
CA01013,1980,5,12432
CA01015,1980,5,10914
CA01100,1980,8C,12591
CA01200,1980,8B,60242
CA01201,1980,5,12465
CA01300,1980,8B,26442
CA01301,1980,5,14919
CA01302,1980,5,14545
CA01304,1980,5,24015
CA01306,1980,6,3440
CA01400,1980,8C,14538
CA01500,1980,9A,212427
CA01502,1980,2,112282
CA01503,1980,5,16547
CA01506,1980,5,15898
CA01508,1980,6,5295
CA01510,1980,6,9547
CA01511,1980,6,2740
CA01600,1980,8B,37532
CA01601,1980,6,6416
CA01700,1980,8B,32819
CA01801,1980,6,6522
CA01900,1980,9A,1020111
CA01901,1980,3,64616
CA01902,1980,4,45955
CA01905,1980,4,27311
CA01906,1980,3,50538
CA01907,1980,4,25455
CA01908,1980,3,53079
CA01909,1980,4,34072
CA01910,1980,4,32281
CA01912,1980,3,83781
CA01913,1980,4,30950
CA01914,1980,5,10507
CA01915,1980,3,79261
CA01916,1980,4,33135
CA01917,1980,5,18114
CA01918,1980,4,38466
CA01919,1980,3,52332
CA01920,1980,3,82404
CA01921,1980,5,16754
CA01922,1980,3,79273
CA01923,1980,5,13757
CA01924,1980,4,44984
CA01925,1980,2,137516
CA01926,1980,4,35439
CA01927,1980,5,10433
CA01928,1980,3,56349
CA01931,1980,4,46083
CA01932,1980,7,806
CA01933,1980,3,94115
CA01934,1980,7,1038
CA01935,1980,3,74438
CA01936,1980,4,37324
CA01937,1980,4,30893
CA01938,1980,5,23445
CA01939,1980,5,23332
CA01941,1980,1C,356906
CA01942,1980,1A,2952511
CA01943,1980,4,43801
CA01944,1980,4,31544
CA01945,1980,5,21800
CA01946,1980,4,30203
CA01947,1980,3,52809
CA01948,1980,3,54298
CA01949,1980,3,85296
CA01950,1980,5,12245
CA01951,1980,5,14346
CA01952,1980,4,36018
CA01953,1980,2,117861
CA01954,1980,3,53390
CA01955,1980,3,92636
CA01956,1980,3,56935
CA01958,1980,6,9638
CA01959,1980,4,42544
CA01960,1980,5,23887
CA01961,1980,5,17516
CA01962,1980,4,30119
CA01964,1980,5,14556
CA01965,1980,3,88142
CA01966,1980,5,10788
CA01967,1980,6,5660
CA01968,1980,5,16532
CA01969,1980,3,66777
CA01971,1980,4,30151
CA01972,1980,2,131320
CA01973,1980,7,89
CA01974,1980,6,9965
CA01975,1980,3,77541
CA01976,1980,3,68346
CA01977,1980,3,84963
CA01996,1980,4,47931
CA02000,1980,8B,36288
CA02001,1980,6,5115
CA02002,1980,5,21675
CA02100,1980,9B,62588
CA02106,1980,4,41703
CA02109,1980,4,43861
CA02200,1980,8C,11055
CA02300,1980,8B,45634
CA02301,1980,6,5032
CA02303,1980,5,12067
CA02400,1980,8B,58421
CA02402,1980,6,3129
CA02405,1980,5,10328
CA02406,1980,4,36424
CA02500,1980,8D,5599
CA02600,1980,8D,8589
CA02700,1980,9B,86039
CA02701,1980,6,4731
CA02703,1980,6,2906
CA02705,1980,6,5473
CA02707,1980,5,15697
CA02708,1980,3,80438
CA02710,1980,4,30076
CA02711,1980,6,5896
CA02800,1980,9B,38926
CA02802,1980,4,49892
CA02900,1980,8B,42670
CA03000,1980,9A,270516
