year,assault_gun_rate,assault_nongun_rate,murder_rate,assault_gun_agencies,assault_nongun_agencies,murder_agencies
1965,0.7574499267220323,0.686990565852445,0.8995876788746059,2405,4575,1560
1966,0.6983145452555544,0.6411369871009164,0.8849547637663353,2374,4433,1573
1967,0.6763856812933026,0.6386067671310777,0.874405705229794,2613,4575,1627
1968,0.6383832928256369,0.6280634846440675,0.8493020029480621,2737,4615,1716
1969,0.621239177083177,0.6465392005248606,0.8336204196680238,2834,4759,1730
1970,0.6369016560019773,0.6248125855112755,0.8363361199192851,2979,4975,1831
1971,0.6160771010392817,0.6405906315262878,0.8174664107485604,3455,5599,2092
1972,0.6093024299400929,0.6411712777746473,0.8040087729986597,3634,5930,2142
1973,0.6058239840438794,0.6401130481508941,0.8038459388451004,4193,6561,2484
1974,0.6062662033206465,0.6360650414626836,0.8074998683309633,4625,7134,2744
1975,0.619587193867684,0.6377362401962478,0.8026143790849674,5132,7891,2878
1976,0.6136745732977595,0.6326821422916776,0.825881683731513,5309,8448,2971
1977,0.6036487926136364,0.6269163699774758,0.7869521466905188,5423,8853,2967
1978,0.5996310878771837,0.614565688514028,0.7925360292536029,5692,9214,3044
1979,0.5767855700830293,0.6056456230685509,0.7629662434799724,6034,9605,3158
1980,0.551713059948732,0.6026924318819702,0.7448221781447484,6018,9709,3229
1981,0.5488737913732212,0.5970576000033787,0.7373055754965303,5823,9633,3031
1982,0.5832836586709323,0.6139629267472059,0.7644582317748726,5693,9550,2986
1983,0.5827989587632139,0.6197071019893969,0.7850753159808391,5532,9536,2844
1984,0.5836848654062092,0.6262030121708307,0.7684147794994041,5691,9716,2821
1985,0.5716217268499182,0.6308304849048996,0.748946382580192,5749,9905,2818
1986,0.548348134991119,0.6100248117081035,0.7259217067108533,5612,9801,2884
1987,0.49930981820317777,0.5933238356636471,0.7108076009501187,5468,9617,2718
1988,0.5017510347023241,0.6059811025584462,0.7397308573779162,5060,9094,2546
1989,0.4737119451962921,0.5928698717856012,0.7101718794026486,5268,9465,2523
1990,0.47940156210543106,0.6040739065215839,0.6990096234700551,5574,9853,2684
1991,0.4615528240236502,0.6067845009152196,0.6991900195512523,5675,9724,2724
1992,0.45267998131367926,0.6023483468105786,0.6678453239040755,5856,9985,2742
1993,0.4367643887108701,0.5979895106035251,0.6758765330780103,5379,9174,2623
1994,0.44499331238153067,0.603737994601764,0.6950272342142425,5318,9172,2500
1995,0.44812589670014347,0.5907279173723596,0.6673187571921749,5281,9370,2526
1996,0.4578495834132281,0.6158060325514075,0.6952072880908371,4824,8882,2236
1997,0.46972629618544015,0.625713014474754,0.7026436231983059,4720,8807,2258
1998,0.46262833527205993,0.6205657004846878,0.7122951411450437,4640,8650,2228
1999,0.46345111390229393,0.6229542307333558,0.7256658595641646,4510,8964,2144
2000,0.43231409473616556,0.598935011497035,0.6703048257581664,4526,9201,2223
2001,0.4148991205380238,0.5968839560210515,0.6640850417615793,4648,9187,2222
2002,0.4187976878612717,0.5985957506224284,0.6588226775758453,4669,9469,2237
2003,0.4120027352077551,0.6038232857729021,0.6668927575552038,4757,9542,2244
2004,0.40706679191960654,0.6008833598534162,0.6624386560966402,4770,9684,2270
2005,0.39052678999191975,0.5947478713376491,0.6510412939239962,4848,9723,2260
2006,0.3857543319637778,0.5830613998250893,0.6386706528540639,4824,9798,2328
2007,0.3901581350772353,0.5787600294547993,0.6505837670558448,4808,9870,2239
2008,0.40684413390885077,0.5883014667033196,0.6846945478432231,4803,9920,2349
2009,0.4198025271007388,0.5992575338770301,0.7057803012380727,4864,9960,2387
2010,0.4324248743578066,0.6028189941597705,0.6898557849885284,4891,9957,2225
2011,0.42541475972540044,0.605344479346531,0.6930194134655101,5041,10064,2382
2012,0.4221979099860414,0.5996196575665599,0.6718298555377207,5018,10053,2335
2013,0.4308840990044753,0.6211762144934203,0.6897655437304954,5097,10240,2359
2014,0.40565087245382203,0.6113139885475801,0.691197925109418,5006,10232,2320
2015,0.3819054307116105,0.5959499232513272,0.6612006068048834,5206,10366,2397
2016,0.374673778020901,0.5904591998352019,0.6347245409015025,5326,10198,2478
2017,0.3793896146545918,0.5904301985383067,0.6597493599245384,5352,10144,2430
