year,assault_gun_rate,assault_nongun_rate,murder_rate,assault_gun_agencies,assault_nongun_agencies,murder_agencies
1965,0.7698804924072243,0.705871046280674,0.9139294403892944,194,212,159
1966,0.7295147175815434,0.6974750368309052,0.8904907125034655,198,217,167
1967,0.7012904712524485,0.6712013354567608,0.8749413420929141,201,218,165
1968,0.6643931444561035,0.6439108544872021,0.8496225665474771,198,220,167
1969,0.6475784041286224,0.6722299860251547,0.8213382774313164,203,222,172
1970,0.7056217201395217,0.6378666800270548,0.8338032581453634,206,223,177
1971,0.6589256923033406,0.6664254287716396,0.8162294609397521,212,227,172
1972,0.6619238587046091,0.6697217564689355,0.8150665926748057,213,228,180
1973,0.6528346905959853,0.6743375712600205,0.7817589576547231,217,232,177
1974,0.6223919433334939,0.6315503552026744,0.7877406281661601,215,230,179
1975,0.6285460567369078,0.6373411534701857,0.779489835556131,215,232,177
1976,0.6034439792663477,0.633960698816334,0.8094891573278998,220,234,184
1977,0.6023843930635838,0.6287253205871337,0.7551733780760627,226,236,184
1978,0.5889276966343101,0.6330789015182942,0.755211117049706,224,236,187
1979,0.557788264418056,0.6145079211219823,0.7251899335232669,228,237,179
1980,0.517547649081578,0.5954440299285134,0.7001321003963011,227,237,185
1981,0.5101124004219563,0.5878349432721142,0.6925,227,238,184
1982,0.5537862915294822,0.6080461449614183,0.7126467449306296,223,233,179
1983,0.5458317464771794,0.6155265559530233,0.7451157976452323,232,242,186
1984,0.5491342735924779,0.6136701429699695,0.7305581582117521,234,242,187
1985,0.5386172778648263,0.6139096390441117,0.7052659156405554,234,242,186
1986,0.523442555444438,0.6033195728727766,0.7048038988164307,233,242,185
1987,0.5122561498959863,0.6265573967394569,0.7092093938276158,233,242,186
1988,0.4976679841897233,0.6169508063180603,0.7090527873704983,231,239,177
1989,0.4561493621291032,0.6060334780332077,0.6963441356244955,231,238,174
1990,0.4544227434611511,0.6179641930199347,0.679140046648413,229,237,181
1991,0.421295899209957,0.6178478415278984,0.6666985006207621,223,230,176
1992,0.4260825186762519,0.6141962546146769,0.6491880258266484,232,240,186
1993,0.40226352870634086,0.6065627289533723,0.6411372476384516,229,238,184
1994,0.40726733604992854,0.5942882736527264,0.647134134331298,232,240,187
1995,0.41219068112223783,0.6078917147836143,0.6160468319559229,226,235,183
1996,0.409812263641275,0.6016337055853977,0.6261510128913443,226,236,175
1997,0.4212260794667266,0.61116660533095,0.6199360341151386,227,236,173
1998,0.40599079610901373,0.6011515222521633,0.630822812363953,228,237,180
1999,0.4104495933711831,0.6059315938067579,0.6295092622684433,226,235,182
2000,0.36491407590212777,0.5691142604074402,0.5771956856702619,222,234,181
2001,0.34053194233469947,0.5564401404314744,0.5767495998836025,225,235,175
2002,0.34395449650716514,0.5548190212656033,0.5915413000283849,231,241,182
2003,0.342240552190288,0.5690630982216345,0.6011763058395183,230,239,185
2004,0.33259141948094567,0.5548453890919062,0.5869188564828184,233,241,183
2005,0.31217810267486296,0.5358457178137199,0.5794724613912806,232,241,187
2006,0.3144258051670068,0.5201902124005381,0.5551371705217859,233,240,184
2007,0.32689844464775847,0.5277528960637687,0.5853256389117889,231,241,186
2008,0.3507166246175318,0.5481144474775048,0.6036648440963499,232,242,186
2009,0.35714078500768764,0.5604133966826454,0.6182944725256807,232,240,186
2010,0.3550597730906876,0.5595273248541011,0.6159322033898305,234,242,183
2011,0.3521080980683507,0.5604979253112033,0.6008251676121712,230,242,185
2012,0.33446879431587256,0.5494136326917184,0.5805605638419932,233,242,184
2013,0.3429926238145416,0.5612528906751088,0.6228591401607829,233,242,185
2014,0.3181072408636185,0.5398801103819307,0.6075091256735616,231,242,182
2015,0.29401673857670113,0.5247323027968707,0.575580501307089,231,241,187
2016,0.29067817454106387,0.5188629103696346,0.5353894258101194,233,241,183
2017,0.3001943665904234,0.5168459273176343,0.5769123003642477,233,241,183
