agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AK00101,38.0,assault_gun,True,1C,True
AK00102,38.0,assault_gun,True,4,False
AK00103,28.0,assault_gun,False,4,False
AK00104,28.0,assault_gun,False,6,False
AK00105,29.0,assault_gun,False,6,False
AK00106,15.0,assault_gun,False,6,False
AK00107,14.0,assault_gun,False,6,False
AK00108,17.0,assault_gun,False,6,False
AK00109,21.0,assault_gun,False,6,False
AK00110,2.0,assault_gun,False,7,False
AK00111,12.0,assault_gun,False,7,False
AK00112,8.0,assault_gun,False,6,False
AK00113,31.0,assault_gun,False,6,False
AK00114,18.0,assault_gun,False,7,False
AK00116,21.0,assault_gun,False,6,False
AK00117,31.0,assault_gun,False,6,False
AK00118,31.0,assault_gun,False,6,False
AK00119,1.0,assault_gun,False,7,False
AK00120,28.0,assault_gun,False,6,False
AK00121,10.0,assault_gun,False,6,False
AK00122,20.0,assault_gun,False,6,False
AK00123,35.0,assault_gun,True,6,False
AK00124,0.0,assault_gun,False,7,False
AK00125,0.0,assault_gun,False,7,False
AK00126,1.0,assault_gun,False,7,False
AK00127,6.0,assault_gun,False,7,False
AK00128,0.0,assault_gun,False,7,False
AK00130,20.0,assault_gun,False,7,False
AK00131,0.0,assault_gun,False,7,False
AK00132,15.0,assault_gun,False,7,False
AK00133,8.0,assault_gun,False,6,False
AK00135,5.0,assault_gun,False,7,False
AK00142,5.0,assault_gun,False,7,False
AK00143,0.0,assault_gun,False,7,False
AK00145,10.0,assault_gun,False,7,False
AK00146,10.0,assault_gun,False,7,False
AK00147,0.0,assault_gun,False,7,False
AK00149,0.0,assault_gun,False,7,False
AK00150,7.0,assault_gun,False,7,False
AK00152,0.0,assault_gun,False,7,False
AK00154,0.0,assault_gun,False,7,False
AK00156,23.0,assault_gun,False,6,False
AK00163,0.0,assault_gun,False,7,False
AK00164,0.0,assault_gun,False,7,False
AK00166,0.0,assault_gun,False,7,False
AK02004,0.0,assault_gun,False,7,False
AKASP00,32.0,assault_gun,False,8D,False
AKAST01,4.0,assault_gun,False,8A,False
AKDI001,0.0,assault_gun,False,7,False
AKDI002,0.0,assault_gun,False,7,False
AKDI003,0.0,assault_gun,False,7,False
AKDI004,0.0,assault_gun,False,7,False
AL00100,34.0,assault_gun,True,9A,False
AL00101,28.0,assault_gun,False,4,False
AL00102,18.0,assault_gun,False,2,True
AL00103,7.0,assault_gun,False,5,False
AL00104,31.0,assault_gun,False,5,False
AL00105,23.0,assault_gun,False,5,False
AL00106,31.0,assault_gun,False,5,False
AL00107,22.0,assault_gun,False,6,False
AL00108,30.0,assault_gun,False,6,False
AL00109,23.0,assault_gun,False,4,False
AL00110,25.0,assault_gun,False,4,False
AL00111,11.0,assault_gun,False,6,False
AL00112,29.0,assault_gun,False,3,False
AL00113,24.0,assault_gun,False,5,False
AL00114,8.0,assault_gun,False,5,False
AL00115,0.0,assault_gun,False,7,False
AL00116,11.0,assault_gun,False,7,False
AL00117,0.0,assault_gun,False,7,False
AL00118,7.0,assault_gun,False,6,False
AL00119,23.0,assault_gun,False,5,False
AL00120,2.0,assault_gun,False,7,False
AL00121,20.0,assault_gun,False,5,False
AL00122,13.0,assault_gun,False,6,False
AL00123,10.0,assault_gun,False,6,False
AL00124,0.0,assault_gun,False,7,False
AL00125,0.0,assault_gun,False,7,False
AL00126,2.0,assault_gun,False,7,False
