agency_ori_7,nonzero_years,offense,consistent,ori_group,larger_city
AK00101,38.0,murder,True,1C,True
AK00102,29.0,murder,False,4,False
AK00103,13.0,murder,False,4,False
AK00104,11.0,murder,False,6,False
AK00105,5.0,murder,False,6,False
AK00106,9.0,murder,False,6,False
AK00107,1.0,murder,False,6,False
AK00108,2.0,murder,False,6,False
AK00109,4.0,murder,False,6,False
AK00110,1.0,murder,False,7,False
AK00111,3.0,murder,False,7,False
AK00112,0.0,murder,False,6,False
AK00113,15.0,murder,False,6,False
AK00114,1.0,murder,False,7,False
AK00116,7.0,murder,False,6,False
AK00117,1.0,murder,False,6,False
AK00118,10.0,murder,False,6,False
AK00119,0.0,murder,False,7,False
AK00120,1.0,murder,False,6,False
AK00121,1.0,murder,False,6,False
AK00122,4.0,murder,False,6,False
AK00123,7.0,murder,False,6,False
AK00124,0.0,murder,False,7,False
AK00125,0.0,murder,False,7,False
AK00126,0.0,murder,False,7,False
AK00127,0.0,murder,False,7,False
AK00128,0.0,murder,False,7,False
AK00130,9.0,murder,False,7,False
AK00131,0.0,murder,False,7,False
AK00132,0.0,murder,False,7,False
AK00133,2.0,murder,False,6,False
AK00135,0.0,murder,False,7,False
AK00142,0.0,murder,False,7,False
AK00143,0.0,murder,False,7,False
AK00145,1.0,murder,False,7,False
AK00146,2.0,murder,False,7,False
AK00147,0.0,murder,False,7,False
AK00149,1.0,murder,False,7,False
AK00150,3.0,murder,False,7,False
AK00152,0.0,murder,False,7,False
AK00154,0.0,murder,False,7,False
AK00156,7.0,murder,False,6,False
AK00163,0.0,murder,False,7,False
AK00164,0.0,murder,False,7,False
AK00166,0.0,murder,False,7,False
AK02004,0.0,murder,False,7,False
AKASP00,32.0,murder,False,8D,False
AKAST01,4.0,murder,False,8A,False
AKDI001,0.0,murder,False,7,False
AKDI002,0.0,murder,False,7,False
AKDI003,0.0,murder,False,7,False
AKDI004,0.0,murder,False,7,False
AL00100,33.0,murder,False,9A,False
AL00101,26.0,murder,False,4,False
AL00102,19.0,murder,False,2,True
AL00103,5.0,murder,False,5,False
AL00104,21.0,murder,False,5,False
AL00105,8.0,murder,False,5,False
AL00106,14.0,murder,False,5,False
AL00107,11.0,murder,False,6,False
AL00108,13.0,murder,False,6,False
AL00109,3.0,murder,False,4,False
AL00110,10.0,murder,False,4,False
AL00111,4.0,murder,False,6,False
AL00112,16.0,murder,False,3,False
AL00113,11.0,murder,False,5,False
AL00114,3.0,murder,False,5,False
AL00115,0.0,murder,False,7,False
AL00116,1.0,murder,False,7,False
AL00117,0.0,murder,False,7,False
AL00118,3.0,murder,False,6,False
AL00119,13.0,murder,False,5,False
AL00120,2.0,murder,False,7,False
AL00121,2.0,murder,False,5,False
AL00122,3.0,murder,False,6,False
AL00123,1.0,murder,False,6,False
AL00124,0.0,murder,False,7,False
AL00125,0.0,murder,False,7,False
AL00126,0.0,murder,False,7,False
AL00127,0.0,murder,False,7,False
AL00128,0.0,murder,False,7,False
AL00129,0.0,murder,False,6,False
AL00130,0.0,murder,False,7,False
AL00132,0.0,murder,False,7,False
AL00134,0.0,murder,False,7,False
AL00135,0.0,murder,False,7,False
AL00140,0.0,murder,False,7,False
AL00141,0.0,murder,False,7,False
AL00145,0.0,murder,False,7,False
AL00200,32.0,murder,False,9A,False
AL00201,26.0,murder,False,2,True
AL00202,31.0,murder,False,5,False
AL00203,4.0,murder,False,6,False
AL00204,4.0,murder,False,6,False
AL00205,5.0,murder,False,5,False
AL00206,7.0,murder,False,6,False
AL00207,5.0,murder,False,6,False
AL00208,0.0,murder,False,7,False
AL00209,0.0,murder,False,7,False
AL00212,4.0,murder,False,7,False
AL00213,0.0,murder,False,7,False
AL00214,1.0,murder,False,7,False
AL00215,0.0,murder,False,7,False
AL00217,0.0,murder,False,7,False
AL00300,17.0,murder,False,9B,False
AL00301,30.0,murder,False,2,True
AL00303,0.0,murder,False,9E,False
AL00304,0.0,murder,False,9D,False
AL00305,4.0,murder,False,9D,False
AL00306,0.0,murder,False,7,False
AL00307,0.0,murder,False,7,False
AL00308,0.0,murder,False,9D,False
AL00310,0.0,murder,False,9E,False
AL00313,0.0,murder,False,9D,False
AL00314,0.0,murder,False,9E,False
AL00319,0.0,murder,False,7,False
AL00320,0.0,murder,False,9E,False
AL00322,0.0,murder,False,7,False
AL003FA,0.0,murder,False,7,False
AL00400,15.0,murder,False,9C,False
AL00401,20.0,murder,False,4,False
AL00402,0.0,murder,False,7,False
AL00500,19.0,murder,False,9B,False
AL00501,13.0,murder,False,6,False
AL00502,9.0,murder,False,5,False
AL00503,9.0,murder,False,5,False
AL00504,5.0,murder,False,5,False
AL00505,4.0,murder,False,6,False
AL00506,0.0,murder,False,7,False
AL00507,1.0,murder,False,7,False
AL00508,13.0,murder,False,4,False
AL00509,2.0,murder,False,7,False
AL00510,2.0,murder,False,7,False
AL00511,0.0,murder,False,7,False
