year,Black/Hispanic,Other,White
1980,0.667,0.561,0.618
1981,0.689,0.655,0.665
1982,0.664,0.582,0.633
1983,0.67,0.634,0.642
1984,0.644,0.569,0.668
1985,0.66,0.65,0.656
1986,0.667,0.554,0.659
1987,0.644,0.576,0.633
1988,0.635,0.68,0.636
1989,0.636,0.681,0.633
1990,0.621,0.577,0.607
1991,0.613,0.574,0.564
1992,0.567,0.602,0.559
1993,0.555,0.52,0.562
1994,0.561,0.578,0.562
1995,0.555,0.543,0.594
1996,0.554,0.616,0.6
1997,0.524,0.63,0.608
1998,0.535,0.594,0.608
1999,0.533,0.592,0.599
2000,0.525,0.606,0.62
2001,0.524,0.588,0.621
2002,0.504,0.653,0.646
2003,0.482,0.555,0.593
2004,0.492,0.582,0.613
2005,0.515,0.601,0.644
2006,0.518,0.618,0.648
2007,0.499,0.614,0.655
2008,0.509,0.603,0.643
2009,0.522,0.6,0.668
2010,0.512,0.676,0.701
2011,0.501,0.708,0.704
2012,0.498,0.7,0.705
2013,0.496,0.724,0.735
2014,0.511,0.615,0.735
2015,0.485,0.656,0.734
2016,0.451,0.64,0.718
2017,0.47,0.667,0.723
