year,Black/Hispanic,Other,White
1980,0.65,0.55,0.65
1981,0.675,0.637,0.693
1982,0.645,0.589,0.659
1983,0.654,0.672,0.679
1984,0.619,0.542,0.712
1985,0.652,0.685,0.683
1986,0.649,0.625,0.702
1987,0.622,0.564,0.646
1988,0.622,0.629,0.631
1989,0.612,0.702,0.64
1990,0.594,0.569,0.567
1991,0.582,0.583,0.542
1992,0.543,0.556,0.531
1993,0.528,0.502,0.545
1994,0.534,0.546,0.535
1995,0.525,0.526,0.58
1996,0.527,0.624,0.57
1997,0.495,0.58,0.597
1998,0.499,0.55,0.579
1999,0.494,0.568,0.567
2000,0.489,0.616,0.577
2001,0.483,0.604,0.588
2002,0.456,0.627,0.609
2003,0.43,0.525,0.533
2004,0.442,0.568,0.561
2005,0.475,0.539,0.606
2006,0.488,0.56,0.607
2007,0.448,0.551,0.593
2008,0.443,0.571,0.586
2009,0.466,0.547,0.612
2010,0.446,0.592,0.655
2011,0.436,0.619,0.647
2012,0.441,0.635,0.641
2013,0.434,0.667,0.697
2014,0.449,0.549,0.681
2015,0.433,0.618,0.673
2016,0.396,0.576,0.674
2017,0.416,0.617,0.673
